LAMMPS (15 Sep 2022)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
# 3d WCA system, random initial configuration

#variable density equal 0.5
variable initial_temperature equal 3.0
variable final_temperature equal 0.1
variable dt equal 0.01
variable tau equal 100*${dt}
variable tau equal 100*0.01
variable thermo_time equal 50000*${dt}
variable thermo_time equal 50000*0.01
variable equil_steps equal 50000
variable run_steps equal 100000

units           lj
atom_style      atomic
dimension       3

lattice         fcc ${density}
lattice         fcc 1.4
Lattice spacing in x,y,z = 1.4189834 1.4189834 1.4189834
region          box block 0 8 0 8 0 8
# number of atom types
create_box      1 box
Created orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  1 by 1 by 1 MPI processor grid
create_atoms    1 box
Created 2048 atoms
  using lattice units in orthogonal box = (0 0 0) to (11.351867 11.351867 11.351867)
  create_atoms CPU = 0.000 seconds
mass 1 1.0

velocity all create ${initial_temperature} 12345
velocity all create 3 12345

pair_style      lj/cut 1.0
#type_1 type_2 epsilon sigma cutoff
pair_coeff      1 1 10.0 0.89089871814 1.0
pair_modify shift yes

timestep ${dt}
timestep 0.01
thermo ${thermo_time}
thermo 500

fix 1 all nvt temp ${initial_temperature} ${initial_temperature} ${tau}
fix 1 all nvt temp 3 ${initial_temperature} ${tau}
fix 1 all nvt temp 3 3 ${tau}
fix 1 all nvt temp 3 3 1
run ${equil_steps}
run 50000
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.3
  ghost atom cutoff = 1.3
  binsize = 0.65, bins = 18 18 18
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 3.156 | 3.156 | 3.156 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   3              0              0              4.4978027      4.1979492    
       500   2.8459454      3.8091701      0              8.0760038      72.35573     
      1000   2.8979725      3.8126693      0              8.1575055      72.550633    
      1500   2.905374       3.9387983      0              8.2947313      73.826141    
      2000   3.0143033      3.9581725      0              8.4774197      73.852048    
      2500   3.0770386      3.9470902      0              8.5603945      73.891073    
      3000   3.0193589      3.9956062      0              8.5224331      74.597628    
      3500   3.0264949      3.8454016      0              8.3829273      73.133364    
      4000   2.9932172      3.8928461      0              8.3804796      73.262028    
      4500   2.9869184      3.9474478      0              8.4256377      74.277298    
      5000   3.0381258      3.9661951      0              8.5211586      74.213137    
      5500   3.0010591      3.9908541      0              8.4902448      74.445381    
      6000   3.0185155      3.9869818      0              8.5125441      73.973346    
      6500   3.0426934      3.9138794      0              8.4756909      73.498893    
      7000   3.0036125      4.005515       0              8.5087339      75.104818    
      7500   3.0705154      3.8943017      0              8.4978259      73.446667    
      8000   3.0015213      3.9914183      0              8.4915019      74.325779    
      8500   3.0974595      3.8536047      0              8.4975252      72.966237    
      9000   3.0356273      3.90462        0              8.4558376      74.127585    
      9500   3.0004222      4.0499223      0              8.548358       75.228698    
     10000   3.1071331      3.8005687      0              8.4589927      72.541891    
     10500   3.0296194      3.9696987      0              8.5119087      73.98619     
     11000   3.0854848      3.826959       0              8.4529263      72.518947    
     11500   3.0412094      3.9641747      0              8.5237613      73.885298    
     12000   3.029608       3.9347204      0              8.4769135      73.950509    
     12500   3.0375937      3.9202173      0              8.4743832      73.672448    
     13000   3.0376919      3.968805       0              8.5231179      74.23185     
     13500   2.9980984      3.9484754      0              8.4434271      73.982081    
     14000   3.1287996      3.8313486      0              8.5222565      72.868202    
     14500   3.0347751      3.8974897      0              8.4474295      73.488657    
     15000   3.0955111      3.967119       0              8.6081184      74.111755    
     15500   2.9356757      3.981365       0              8.3827284      74.24565     
     16000   3.0329024      3.9135247      0              8.460657       73.731001    
     16500   3.0065431      4.0336355      0              8.5412482      74.938622    
     17000   3.067158       3.8429727      0              8.4414633      73.17677     
